93    HLT_DoublePhoton60
94    HLT_Photon22
95    HLT_Photon30
96    HLT_Photon36
97    HLT_Photon50
98    HLT_Photon75
99    HLT_Photon90
100    HLT_Photon120
101    HLT_Photon175
102    HLT_Photon165_HE10
103    HLT_Photon250_NoHE
104    HLT_Photon300_NoHE
105    HLT_Photon22_R9Id90_HE10_IsoM
106    HLT_Photon30_R9Id90_HE10_IsoM
107    HLT_Photon36_R9Id90_HE10_IsoM
108    HLT_Photon50_R9Id90_HE10_IsoM
109    HLT_Photon75_R9Id90_HE10_IsoM
110    HLT_Photon90_R9Id90_HE10_IsoM
111    HLT_Photon120_R9Id90_HE10_IsoM
112    HLT_Photon165_R9Id90_HE10_IsoM
113    HLT_Photon155
114    HLT_Photon250_NoHE
115    HLT_Photon300_NoHE
116    HLT_Photon135_PFMET100
117    HLT_PFJet40
118    HLT_PFJet60
119    HLT_PFJet80
120    HLT_PFJet140
121    HLT_PFJet200
122    HLT_PFJet260
123    HLT_PFJet320
124    HLT_PFJet400
125    HLT_PFJet450
126    HLT_PFJet500
127    HLT_DiPFJetAve40
128    HLT_DiPFJetAve60
129    HLT_DiPFJetAve80
130    HLT_DiPFJetAve140
131    HLT_DiPFJetAve200
132    HLT_DiPFJetAve260
133    HLT_DiPFJetAve320
134    HLT_DiPFJetAve400
135    HLT_DiPFJetAve500
136    HLT_PFMET170_NoiseCleaned
137    HLT_PFMET170_HBHECleaned
138    HLT_PFMET170_JetIdCleaned
139    HLT_PFMET170_NotCleaned
140    HLT_PFMET120_NoiseCleaned_BTagCSV07
141    HLT_PFHT300_PFMET100
142    HLT_PFHT300_PFMET110
143    HLT_PFHT350_PFMET100
144    HLT_PFHT350_PFMET120_NoiseCleaned
145    HLT_PFHT350_PFMET100_NoiseCleaned
146    HLT_PFMET90_PFMHT90_IDTight
147    HLT_PFMET100_PFMHT100_IDTight
148    HLT_PFMET110_PFMHT110_IDTight
149    HLT_PFMET120_PFMHT120_IDTight
150    HLT_PFHT125
151    HLT_PFHT200
152    HLT_PFHT250
153    HLT_PFHT300
154    HLT_PFHT350
155    HLT_PFHT400
156    HLT_PFHT475
157    HLT_PFHT550_4JetPt50
158    HLT_PFHT650_4JetPt50
159    HLT_PFHT750_4JetPt50
160    HLT_PFHT600
161    HLT_PFHT650
162    HLT_PFHT800
163    HLT_PFHT900
164    HLT_RsqMR240_Rsq0p09_MR200
165    HLT_RsqMR240_Rsq0p09_MR200_4jet
166    HLT_RsqMR270_Rsq0p09_MR200
167    HLT_RsqMR270_Rsq0p09_MR200_4jet
168    HLT_RsqMR260_Rsq0p09_MR200
169    HLT_RsqMR260_Rsq0p09_MR200_4jet
170    HLT_RsqMR300_Rsq0p09_MR200
171    HLT_RsqMR300_Rsq0p09_MR200_4jet
172    HLT_Rsq0p25
173    HLT_Rsq0p30
174    HLT_Rsq0p36
175    HLT_Rsq0p02_MR300_TriPFJet80_60_40_BTagCSV_p063_p20_Mbb60_200
176    HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200
